address,interaction_count,interacted_with_0x6e5808,interacted_with_0x277fa5,interacted_with_0xe5E5ed,interacted_with_0x29FF8F,interacted_with_0xbf55bb,contracts
0xd334533980c201c1b93e39bbe6bd1e04be5c0f5d,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x52226fc7a4b931b962427da1be5734ed3a40cc1f,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xca0073964efe7f9422ceb16901018b1db0cc4785,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x1acfbd88adc974b0b7a36005947335ecf3965c60,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x0000000000000000000000000000000000000000,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xfc4b2a62a06cb2e1c6a743e9ae327bb16977e4c1,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x81f9b40dee106a4c5822aed7641d5c1e2b40f922,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x2d42d6bb3d18a7be35d76b599aee9d3358b22b3e,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xa53ce3082487d281fd13c617925c00b80932a460,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xd4f9fe0039da59e6ddb21bbb6e84e0c9e83d73ed,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x8238892095d3bac5322894e84f349bcd52f843d5,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xf7e9caaaeeb6cc9657e1dd490f044114aecc31b2,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xac844ada82f3d0241533d827ebf84deb89617792,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xccbf601eb2f5aa2d5d68b069610da6f1627d485d,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xb5b56fcdf374cdab0ceae4bb75844d2a6e59d4d7,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xbdec7287c08c0c153f9843c4796d59e3bf7178e4,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x2cfb075e8fc0d99837653629b0a3d527f0769a1a,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xa7bf8f67045ef716ee87ded1faadff10f226c02d,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x02e0c302380aa679189d9caa349a0da5a6a19108,4,True,True,True,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x62661b101ca48734668669a9f1cb83c4889049f3,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0xcc0b4fb77e21894120699e6d198ca611b082766d,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x6f278ce76ba5ed31fd9be646d074863e126836e9,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x7527631142c193b5ff4bd7da2c2ecf10fc33e8ad,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0xe7ef5f4803e85f91871bc8f4a609b954f2112ac9,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xb51074da03c55e79e3526cf6bbf31873443efc63,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x66143d695baff44a3c8549bbdb16098d55674f9d,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x0735a3936193a2582fe12f0cb157c2b3bed76931,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x8a1a66ccd6b5652a19e927308529c3a5bc7a9605,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x9c804764b0c0190ca2ef60f680c6b38cf782a1a1,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xda1d9534bef3344fa5be3b644b767b349e7415c7,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xdbc9e41d5e083884f2cb172bb3a17ab09a528101,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xccdf9178bc4f253e4d530fd08d605e713da77a9f,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x3eb5cf7be27c8f23934cc83350f174441134406c,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x9d30f837adc8f6dab74b0c75590c3fa998c9700f,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xbb0992a43f7b62e047a09c6d51fab1973d04de40,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xdfeeacb43f4bdf4f952ee0e47c99353dd2eda192,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xc16637fdf1dd91ddc98b70ab732aca9895d49a5c,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x3acc2bffa4a5e75fd4b7709a6fa2c3eed94f664c,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x561369b3ec94d001031822011b9231e1436bcc78,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0xea7d6a3873cbb644a2fa3a124b00a25c33c661b8,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x32dbef8b3c7dd3e32c874d8a62162206518e5906,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0xfdf73c771d0a3eb0ff67c4c52844428884ea1850,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x02d151627e74a741c48733ea04c036e7b01d9e63,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x3c28c42b24b7909c8292920929f083f60c4997a6,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x155ddac174dc33a1c7054b90ae8c31228776d147,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x465ebdcca602a15559c861edc48c836ca76b2e0b,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xe8a4900bf1f3e498d6069f96158bcc132dbb7b44,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x14d9dfcb8214d31069eaba6be8d328f56760f384,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x0a8c33a7359eff8d306c8079b4043bbc1d887ae8,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x402fc615b80a4048c12b3f6369fa74a36e71c285,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x351da630c4918ad2dcdd8e6408641e14e22aa6db,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x66c348c2d6f0a5c2d1b34dc87ab61bfd62feb9cd,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x415d9f9d71f4090a5feb49a5d246ff6094af843b,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x0d41a350d7549de7ce3ea59b5bd678b7d8a268f0,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xf4bbd5cd8c7551796a41e25928f0617a7d1f1cc2,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x52b13b2f6804d659aa7a55e8d06410dfa9b805b8,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x0c2dfb74090a1aca1b3df3096c32f660913ec444,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0xc2d201037bdf8f7fe905f1073106bf4385b65a6f,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0xf623bef6f5a538e057a8ec38c7b26b4524360f61,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xe3aa9e5252211716052c9677f2258e35ccb85ed6,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x9948ffd4b0e40a096f8979cdaeea7d852f6ea177,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xf7bd34dd44b92fb2f9c3d2e31aaad06570a853a6,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x55e9877c8e66801313607396e7e563391753f800,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xdf7fa906da092cc30f868c5730c944f4d5431e17,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x374d5221a4367fe746cc6c92d333c6ce15386fcd,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x9d6b33774bd65afd1392b0303265e45176c7d33a,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x4c47b2520e9f7e3da15df09718d467f783b03858,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x02feb744ca516fd6e41d940ae2d0f7cb6fcb1ac3,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x1525d8fcad680088245055ffb43179367d3effc0,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x7193342f776ebc03d819dce344a4cb8218613f2e,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xc51fefb9ef83f2d300448b22db6fac032f96df3f,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x2cf70d98851ff4681d3cde774191452ccc00029e,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xb19d6b66b18fae0fca1023138b229e5f970b5180,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0xe9242fc1e861a2a3e12fb3972edcee732f49b37b,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x3a652f60622d22cde49de3d9b5e9d0dcd4d6c32a,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0xdfea3e84e51117dfede2561fb39617e23f2acce9,3,True,True,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0xf0ee04af67809247ef194443e388e42933279ef3,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xddb20a475aeead0cea068f98cf83b2465d83071f,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xc164111d12ded6a9dd5d6c532727bd5c10cd89dd,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x5abc63ebf1950d531408cf8e12ce24c047504847,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x6c46f3f23ed4a070da8d7c1af302d09394efb79f,3,True,True,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xa82c9ed42e7cea03cfad4b03205e46d1a4a30998,2,False,True,False,True,False,"0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xf0d4c12a5768d806021f80a262b4d39d26c58b8d,2,True,True,False,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04"
0x989aeb4d175e16225e39e87d0d97a3360524ad80,2,False,True,True,False,False,"0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x95ab2a2f6e701873cea0070dac735589d089f6bc,2,True,False,False,True,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x3070f20f86fda706ac380f5060d256028a46ec29,2,True,True,False,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04"
0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,2,True,True,False,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04"
0xb7bb43e68b41ed173c29c8869ac90a18c551c598,2,False,True,False,True,False,"0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x0fe38dcc905ec14f6099a83ac5c93bf2601300cf,2,True,True,False,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04"
0xe5e5ed1b50ae33e66ca69df17aa6381fde4e9c7e,2,True,True,False,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0x277fa53c8a53c880e0625c92c92a62a9f60f3f04"
0xead7d35099539ce2abe64f7591ea522e23c13c05,2,False,True,False,True,False,"0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xb2515a7221b2654f9faae0e4ed1d0e49aa7b85dd,2,False,True,False,True,False,"0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xc3ad78caa7984ecabb06c6bd4934c3d8e9efd593,2,False,True,False,True,False,"0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0xfd8bd978f198503a0ba9c5d7f7586e23fc4a4b40,2,True,False,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x5180db0237291a6449dda9ed33ad90a38787621c,2,False,True,False,True,False,"0x277fa53c8a53c880e0625c92c92a62a9f60f3f04,0x29FF8F9ACb27727D8A2A52D16091c12ea56E9E4d"
0x26d4793a24edeba373505721e507aff2f5c7b58f,2,True,False,True,False,False,"0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe,0xe5E5ed1B50AE33E66ca69dF17Aa6381FDe4e9C7e"
0x3839acf1ee7699d1f46b1be840d8ad8317fdf757,1,True,False,False,False,False,0x6e58089d8E8f664823d26454f49A5A0f2fF697Fe
